Date,Not indexed,Indexed,Impressions
2025-12-16,,,25
2025-12-17,,,28
2025-12-18,,,45
2025-12-19,,,84
2025-12-20,,,64
2025-12-21,,,52
2025-12-22,1,8,44
2025-12-23,545,14,47
2025-12-24,545,14,47
2025-12-25,545,14,49
2025-12-26,545,14,77
2025-12-27,545,14,87
2025-12-28,545,14,107
2025-12-29,545,14,62
2025-12-30,545,14,57
2025-12-31,545,14,127
2026-01-01,545,14,89
2026-01-02,545,14,101
2026-01-03,893,18,280
2026-01-04,893,18,54
2026-01-05,893,18,255
2026-01-06,173,46,107
2026-01-07,173,46,113
2026-01-08,173,46,58
2026-01-09,173,46,103
2026-01-10,892,46,125
2026-01-11,892,46,124
2026-01-12,892,46,179
2026-01-13,889,51,119
2026-01-14,889,51,72
2026-01-15,889,51,116
2026-01-16,889,51,112
2026-01-17,858,62,96
2026-01-18,858,62,60
2026-01-19,858,62,74
2026-01-20,833,70,155
2026-01-21,833,70,248
2026-01-22,833,70,182
2026-01-23,833,70,216
2026-01-24,820,86,152
2026-01-25,820,86,100
2026-01-26,820,86,135
2026-01-27,806,107,165
2026-01-28,806,107,184
2026-01-29,806,107,280
2026-01-30,806,107,215
