Date,Clicks,Impressions,CTR,Position
2025-12-17,8,25,32%,3.9
2025-12-18,7,28,25%,2.7
2025-12-19,17,45,37.78%,4.4
2025-12-20,20,84,23.81%,7.8
2025-12-21,17,64,26.56%,8.6
2025-12-22,22,52,42.31%,9
2025-12-23,7,44,15.91%,20.9
2025-12-24,4,47,8.51%,19.3
2025-12-25,3,47,6.38%,9.9
2025-12-26,3,49,6.12%,17.9
2025-12-27,8,77,10.39%,16.5
2025-12-28,10,87,11.49%,8.5
2025-12-29,4,107,3.74%,8.9
2025-12-30,5,62,8.06%,12.9
2025-12-31,9,57,15.79%,18.7
2026-01-01,12,127,9.45%,8.8
2026-01-02,9,89,10.11%,7.3
2026-01-03,29,101,28.71%,6.4
2026-01-04,23,280,8.21%,3.1
2026-01-05,6,54,11.11%,7.6
2026-01-06,20,255,7.84%,3.8
2026-01-07,14,107,13.08%,11.1
2026-01-08,7,113,6.19%,31.5
2026-01-09,9,58,15.52%,13.4
2026-01-10,12,103,11.65%,9.7
2026-01-11,18,125,14.4%,11
2026-01-12,23,124,18.55%,8.5
2026-01-13,22,179,12.29%,8.3
2026-01-14,17,119,14.29%,15.5
2026-01-15,18,72,25%,17.1
2026-01-16,20,116,17.24%,23.5
2026-01-17,14,112,12.5%,23
2026-01-18,11,96,11.46%,25.9
2026-01-19,11,60,18.33%,12.6
2026-01-20,9,74,12.16%,13
2026-01-21,45,155,29.03%,9.1
2026-01-22,72,248,29.03%,20.6
2026-01-23,28,182,15.38%,31.9
2026-01-24,42,216,19.44%,27.1
2026-01-25,44,152,28.95%,14.8
2026-01-26,31,100,31%,12
2026-01-27,25,135,18.52%,13.9
2026-01-28,36,165,21.82%,6.3
2026-01-29,47,184,25.54%,9.1
2026-01-30,53,280,18.93%,7.2
2026-01-31,51,215,23.72%,10.7
