Country,Clicks,Impressions,CTR,Position
United States,897,4454,20.14%,12.74
Canada,17,214,7.94%,18.09
Germany,2,18,11.11%,19.89
Puerto Rico,2,10,20%,8.9
Guam,2,4,50%,12.5
China,1,4,25%,2.5
Cuba,1,2,50%,4
Brazil,0,68,0%,14.68
United Kingdom,0,51,0%,6.84
India,0,33,0%,17.94
Mexico,0,30,0%,8.53
Indonesia,0,23,0%,10.7
Italy,0,18,0%,20.17
Vietnam,0,18,0%,23.22
Spain,0,17,0%,18.06
France,0,15,0%,10.87
Malaysia,0,13,0%,17.62
Turkey,0,12,0%,7.25
South Korea,0,12,0%,13
Philippines,0,11,0%,15.18
Singapore,0,10,0%,10.5
Netherlands,0,9,0%,7.11
Thailand,0,9,0%,12.89
Portugal,0,8,0%,16.75
Australia,0,8,0%,20.88
Bangladesh,0,8,0%,21.88
Argentina,0,7,0%,3
Colombia,0,7,0%,8.71
Poland,0,7,0%,10.71
Morocco,0,7,0%,15.86
Egypt,0,7,0%,21.29
Albania,0,6,0%,6.83
Chile,0,6,0%,12.17
Ecuador,0,6,0%,20.83
Dominican Republic,0,5,0%,3.6
Iraq,0,5,0%,5.8
Belgium,0,5,0%,7
Saudi Arabia,0,5,0%,13.6
Austria,0,4,0%,6.25
Romania,0,4,0%,7.75
Ukraine,0,4,0%,12.5
Peru,0,4,0%,13.25
Nigeria,0,4,0%,23
Pakistan,0,4,0%,29.25
Oman,0,4,0%,30.25
Algeria,0,3,0%,3
Panama,0,3,0%,3.33
Montenegro,0,3,0%,6
Israel,0,3,0%,6.67
Mongolia,0,3,0%,8
Nepal,0,3,0%,8
Switzerland,0,3,0%,10.67
Japan,0,3,0%,10.67
Denmark,0,3,0%,12.67
Hungary,0,3,0%,25.67
South Africa,0,2,0%,2.5
Ghana,0,2,0%,4
Moldova,0,2,0%,4
Norway,0,2,0%,4
Honduras,0,2,0%,5
Bahamas,0,2,0%,5.5
Uzbekistan,0,2,0%,5.5
Costa Rica,0,2,0%,6
Russia,0,2,0%,7
Armenia,0,2,0%,7.5
Taiwan,0,2,0%,8
New Zealand,0,2,0%,8.5
Qatar,0,2,0%,8.5
Tunisia,0,2,0%,8.5
Luxembourg,0,2,0%,15
Côte d’Ivoire,0,1,0%,1
Cyprus,0,1,0%,1
Ireland,0,1,0%,1
Jamaica,0,1,0%,1
Libya,0,1,0%,1
Nicaragua,0,1,0%,1
Serbia,0,1,0%,1
Togo,0,1,0%,1
Uruguay,0,1,0%,1
Isle of Man,0,1,0%,2
Jordan,0,1,0%,3
Belarus,0,1,0%,4
Cambodia,0,1,0%,5
Zimbabwe,0,1,0%,5
Bulgaria,0,1,0%,6
Sweden,0,1,0%,6
United Arab Emirates,0,1,0%,7
Czechia,0,1,0%,8
Greece,0,1,0%,8
Latvia,0,1,0%,8
Cameroon,0,1,0%,9
Lebanon,0,1,0%,10
Andorra,0,1,0%,11
U.S. Virgin Islands,0,1,0%,11
Azerbaijan,0,1,0%,19
Brunei,0,1,0%,20
Lithuania,0,1,0%,20
Mauritania,0,1,0%,20
Kosovo,0,1,0%,20
Kazakhstan,0,1,0%,24
Hong Kong,0,1,0%,29
