Top pages,Clicks,Impressions,CTR,Position
https://www.pennycentral.com/,864,3022,28.59%,14.25
https://www.pennycentral.com/penny-list,36,913,3.94%,4.3
https://www.pennycentral.com/guide,10,2000,0.5%,6.5
https://www.pennycentral.com/about,4,894,0.45%,1.93
https://www.pennycentral.com/home-depot-penny-list,4,274,1.46%,3.29
https://www.pennycentral.com/report-find,3,669,0.45%,2.09
https://www.pennycentral.com/home-depot-penny-items,3,445,0.67%,26.73
https://www.pennycentral.com/sku/1002661373,2,10,20%,5.7
https://www.pennycentral.com/sku/1450045081,1,30,3.33%,4.9
https://www.pennycentral.com/sku/1005531842,1,13,7.69%,6.85
https://www.pennycentral.com/sku/1004178519,1,7,14.29%,9.43
https://www.pennycentral.com/sku/1007188913,1,4,25%,4.5
https://www.pennycentral.com/sku/1003399842,1,3,33.33%,3.33
https://www.pennycentral.com/sku/1005261812,1,3,33.33%,4.33
https://www.pennycentral.com/sku/1005838683,1,1,100%,2
https://www.pennycentral.com/store-finder,0,166,0%,1.76
https://www.pennycentral.com/contact,0,113,0%,1.6
https://www.pennycentral.com/trip-tracker,0,52,0%,2.25
https://www.pennycentral.com/sku/1003124854,0,33,0%,8.3
https://www.pennycentral.com/sku/1006325847,0,33,0%,9.15
https://www.pennycentral.com/privacy-policy,0,26,0%,1.81
https://www.pennycentral.com/sku/1007456239,0,21,0%,13.19
https://www.pennycentral.com/sku/1004655283,0,20,0%,9.15
https://www.pennycentral.com/sku/1008490023,0,19,0%,5.42
https://www.pennycentral.com/sku/1006684101,0,19,0%,13.37
https://www.pennycentral.com/sku/1009408133,0,17,0%,6
https://www.pennycentral.com/sku/1012356483,0,16,0%,6.94
https://www.pennycentral.com/sku/1011545464,0,16,0%,8.62
https://www.pennycentral.com/sku/1005775205,0,15,0%,5.87
https://www.pennycentral.com/lists,0,14,0%,2.29
https://www.pennycentral.com/sku/1006595010,0,14,0%,6.43
https://www.pennycentral.com/sku/1011858104,0,13,0%,4.62
https://www.pennycentral.com/sku/1000020590,0,13,0%,6.38
https://www.pennycentral.com/sku/1002312164,0,12,0%,5.75
https://www.pennycentral.com/sku/1001220867,0,12,0%,6.83
https://www.pennycentral.com/sku/1007998619,0,12,0%,10.58
https://www.pennycentral.com/sku/1012769977,0,11,0%,3.18
https://www.pennycentral.com/sku/1005050367,0,11,0%,7.45
https://www.pennycentral.com/sku/1009093894,0,11,0%,8
https://www.pennycentral.com/sku/234887,0,11,0%,8.73
https://www.pennycentral.com/sku/1007690379,0,10,0%,5.5
https://www.pennycentral.com/sku/270999,0,10,0%,5.6
https://www.pennycentral.com/sku/1000092631,0,10,0%,6.6
https://www.pennycentral.com/sku/1010777797,0,10,0%,7.2
https://www.pennycentral.com/sku/1009178320,0,10,0%,15.9
https://www.pennycentral.com/sku/1007422096,0,9,0%,6.67
https://www.pennycentral.com/sitemap.xml,0,9,0%,7
https://www.pennycentral.com/sku/1010287944,0,8,0%,4.5
https://www.pennycentral.com/sku/1010206761,0,8,0%,9.5
https://www.pennycentral.com/sku/1008350536,0,7,0%,5.14
https://www.pennycentral.com/sku/1012633617,0,7,0%,5.86
https://www.pennycentral.com/sku/1010352067,0,5,0%,2.8
https://www.pennycentral.com/sku/1005313252,0,5,0%,13.4
https://www.pennycentral.com/sku/1012214970,0,5,0%,15.6
https://www.pennycentral.com/sku/767925,0,5,0%,35.8
https://www.pennycentral.com/sku/1001548711,0,4,0%,5
https://www.pennycentral.com/sku/1005752630,0,4,0%,5.75
https://www.pennycentral.com/sku/1002448209,0,4,0%,8.5
https://www.pennycentral.com/sku/1005591779,0,4,0%,9
https://www.pennycentral.com/sku/1010454000,0,4,0%,10.75
https://www.pennycentral.com/sku/1005752658,0,3,0%,3.33
https://www.pennycentral.com/sku/1005072712,0,3,0%,4.33
https://www.pennycentral.com/sku/1007676401,0,3,0%,4.67
https://www.pennycentral.com/sku/1013692004,0,3,0%,4.67
"https://www.pennycentral.com/report-find?sku=1007690379&name=Moen Genta 
Towel Holder&src=sku-page",0,3,0%,5.33
https://www.pennycentral.com/sku/1006205850,0,3,0%,7.33
https://www.pennycentral.com/sku/1002340453,0,3,0%,8.33
https://www.pennycentral.com/sku/520214,0,3,0%,8.33
https://www.pennycentral.com/sku/1003821835,0,3,0%,8.67
https://www.pennycentral.com/sku/1007893201,0,3,0%,26.33
https://www.pennycentral.com/sku/1004038864,0,3,0%,31.67
https://www.pennycentral.com/sku/462742,0,2,0%,2.5
https://www.pennycentral.com/sku/1005752710,0,2,0%,3.5
https://www.pennycentral.com/sku/1000039783,0,2,0%,6.5
https://www.pennycentral.com/sku/1002432523,0,2,0%,6.5
https://www.pennycentral.com/sku/1007288215,0,2,0%,6.5
https://www.pennycentral.com/sku/1001081008,0,2,0%,7.5
https://www.pennycentral.com/sku/1003418678,0,2,0%,7.5
https://www.pennycentral.com/ads.txt,0,2,0%,40
https://www.pennycentral.com/sku/1000640737,0,1,0%,4
https://www.pennycentral.com/sku/1010206760,0,1,0%,4
https://www.pennycentral.com/sku/1007891901,0,1,0%,5
https://www.pennycentral.com/sku/1002067338,0,1,0%,6
https://www.pennycentral.com/sku/824481,0,1,0%,6
https://www.pennycentral.com/sku/1003894756,0,1,0%,7
https://www.pennycentral.com/sku/345598,0,1,0%,7
https://www.pennycentral.com/sku/1005711065,0,1,0%,8
https://www.pennycentral.com/sku/1005711067,0,1,0%,8
https://www.pennycentral.com/sku/1006519542,0,1,0%,8
https://www.pennycentral.com/og/guide.png,0,1,0%,22
